,Entrant,Season,FP1,FP2,FP3,Qualifying,Final Position,Fastest Lap,Point
Bahrain,Uralkali Haas F1 Team,2021-22,19,18,18,19,16,01:36.1,0
Imola,Uralkali Haas F1 Team,2021-22,19,19,16,18,16,01:19.2,0
Portugal,Uralkali Haas F1 Team,2021-22,18,18,15,19,17,01:22.8,0
Barcelona,Uralkali Haas F1 Team,2021-23,18,19,19,18,18,01:22.6,0
Monaco,Uralkali Haas F1 Team,2021-22,18,19,14,,18,01:16.4,0
Azerbaijan,Uralkali Haas F1 Team,2021-22,19,19,19,17,13,01:47.6,0
France,Uralkali Haas F1 Team,2021-22,19,19,19,15,19,01:38.8,0
Styria,Uralkali Haas F1 Team,2021-23,18,17,16,19,16,01:10.0,0
Austria,Uralkali Haas F1 Team,2021-22,17,18,18,19,18,01:09.4,0
Great Britain,Uralkali Haas F1 Team,2021-22,17,20,,18,18,01:32.9,0
Hungary,Uralkali Haas F1 Team,2021-23,17,18,19,,12,01:22.7,0
Belgium,Uralkali Haas F1 Team,2021-24,20,20,15,18,16,,0
Netherlands,Uralkali Haas F1 Team,2021-25,18,17,20,19,18,01:15.9,0
Italy,Uralkali Haas F1 Team,2021-26,20,19,,18,15,01:26.7,0
Russia,Uralkali Haas F1 Team,2021-27,20,20,,17,DNF,01:40.3,0
Turkey,Uralkali Haas F1 Team,2021-28,19,19,13,14,19,01:34.2,0
USA,Uralkali Haas F1 Team,2021-29,19,17,19,19,16,01:41.4,0
Mexico,Uralkali Haas F1 Team,2021-30,19,16,18,18,DNF,,0
Brazil,Uralkali Haas F1 Team,2021-31,16,19,,18,18,01:13.8,0
Qatar,Uralkali Haas F1 Team,2021-32,18,19,19,19,16,01:28.4,0
Saudi Arabia,Uralkali Haas F1 Team,2021-33,18,18,19,19,DNF,,0
Abu Dhabi,Uralkali Haas F1 Team,2021-34,14,19,19,19,14,01:29.5,0
